exp_1,exp_2,exp_3,L_re,L_im
2,4,3,0.007173217022142353,0.005141218652696011
2,3,4,12817.228926931613,-1443.473490136667
2,2,5,-266195.0030822456,8.510172266058586e-13
2,1,6,-3.088165170427242e7,-6.866529122999743e6
2,0,7,260822.6746398136,-2.6072760276956856e6
1,8,0,1.7464772534476444e-14,1.9978448583451742e-13
1,7,1,-4.084742406026319e-11,5.417511407094069e-11
1,6,2,-3.3905569447531536e-8,8.91298594109767e-9
1,5,3,-2.3188114139927052e-7,-1.1118952180755315e-5
1,4,4,-0.4425785559470228,-0.22493328686778113
1,3,5,-64.84092856524512,-99.94517813742277
1,2,6,-3.088165170427242e7,6.866529122999743e6
1,1,7,2.667414608981018e8,1.1331572203198293e-8
1,0,8,-3.073605802272105e9,-2.2037978864300552e10
0,9,0,-2.2720724779397704e-14,9.886354426753867e-15
0,8,1,-8.4835806388752e-12,1.14959843314044e-11
0,7,2,1.155115962089674e-9,4.9052718525148455e-9
0,6,3,3.900359318576019e-7,-1.5240523041776255e-6
0,5,4,0.0001337246012660387,0.00040174286646177393
0,4,5,0.11016745756387536,-0.19929506915286765
0,3,6,10728.646783918375,16823.224797220668
0,2,7,260822.6746398136,2.6072760276956856e6
0,1,8,-3.073605802272105e9,2.2037978864300552e10
0,0,9,-7.02047327212356e10,0.0
